rowname	logFC	logCPM	F	PValue	FDR
FBgn0013746	0.2614524517424489	6.748000292462358	10.892832692601061	0.009286989635192044	0.11861882406626742
FBgn0035675	0.4625424596685378	3.6525143110542473	10.833896465513353	0.009420027421003882	0.11964807157979097
FBgn0046763	0.5048765698955798	7.476123924413747	10.830027513904362	0.009428842697741167	0.11964807157979097
FBgn0039303	0.250247197148492	7.076467358684463	10.82298893670508	0.009444905926716636	0.11964807157979097
FBgn0028906	-0.8878963673541841	1.4916687547494538	10.812733302311742	0.00946837139673717	0.11964807157979097
FBgn0040786	1.2501720668523244	0.8376538943321908	10.811029256009913	0.009472277303203607	0.11964807157979097
FBgn0003495	0.34860699156682384	8.565156339798634	10.809227069464306	0.009476410319634023	0.11964807157979097
FBgn0033179	-0.2682808992424297	7.578908871755608	10.805840239301743	0.009484183463803747	0.11964807157979097
FBgn0029833	-0.3152943236942173	5.327273472834624	10.796864245522222	0.009504822359662251	0.11964807157979097
FBgn0014092	0.49810818607607216	4.415118623042963	10.79244827312707	0.009514996496743734	0.11964807157979097
FBgn0034645	-0.3532432624150793	5.9789844604498406	10.790858687109328	0.009518662090575617	0.11964807157979097
FBgn0028406	0.36473665268670363	4.083748309280828	10.783439071939332	0.0095357947833355685	0.11967346892113212
FBgn0032295	-0.28420126789242495	6.406727101032717	10.763778468089546	0.009581377223149692	0.11975951239146053
FBgn0035140	-0.42243123666485033	3.785283878770302	10.749251586440446	0.009615229771947047	0.11975951239146053
FBgn0034242	0.6568404296991578	3.8157307661414865	10.744696394205942	0.009625875235888483	0.11975951239146053
FBgn0051064	-0.29038437473804435	5.980382395560807	10.743289647303977	0.00962916573023703	0.11975951239146053
FBgn0031389	0.6163325850065864	7.325866572029745	10.731645922632987	0.009656454594396442	0.11975951239146053
FBgn0031490	-0.3832161154820608	6.265347604240002	10.72625980631466	0.009669110004563658	0.11975951239146053
FBgn0031174	-0.2633315253613995	7.301359977678317	10.724027882442284	0.009674360197694683	0.11975951239146053
FBgn0037351	-0.5411909008838488	11.520734088543804	10.71605011901979	0.009693155154940142	0.11975951239146053
FBgn0032833	-0.37995760140446766	8.17068808357407	10.715368378923865	0.00969476336355865	0.11975951239146053
FBgn0004908	0.4740037339592812	3.57437628799998	10.712090653145898	0.009702500030068905	0.11975951239146053
FBgn0034282	0.3744152652218811	7.587543283395624	10.70933743396496	0.009709004540386116	0.11975951239146053
FBgn0037655	-0.3638050656384579	7.313111662395587	10.697614311569122	0.009736760736232973	0.11991509839848975
FBgn0024992	-0.3425789889825384	7.225366910886216	10.684420016660095	0.009768117138251629	0.12011447145623393
FBgn0038047	0.627999950344915	2.6356590442775474	10.671950487593858	0.009797865511284894	0.12029348369591485
FBgn0031270	0.8815795399580748	1.6347349514181024	10.665243536280041	0.009813912336902283	0.12030398110824951
FBgn0035440	0.27863635989492	6.532957269426719	10.641354469510029	0.009871332131159616	0.12082083330240032
FBgn0004654	-0.3695050844179438	7.391574863160613	10.62666297265454	0.009906850173941977	0.12084117664735128
FBgn0004179	0.26145399949029613	6.552178519733044	10.616465987394347	0.009931594891170233	0.12084117664735128
FBgn0000413	-0.3175654525657733	7.773136469995676	10.607403076120379	0.009953651511786475	0.12084117664735128
FBgn0035832	-0.676902646643995	2.9867801628693558	10.60480607212419	0.009959983020546037	0.12084117664735128
FBgn0011640	-0.25624438379394354	7.216792272005161	10.600301720272402	0.009970976421166582	0.12084117664735128
FBgn0020440	0.26989885878328695	6.005294594251622	10.59486447006185	0.009984266587076886	0.12084117664735128
FBgn0041630	-0.29917016110493205	6.237477038461374	10.592482923400475	0.009990094626859007	0.12084117664735128
FBgn0051169	0.3930249205793101	4.404423661254829	10.590450574332246	0.009995071436294366	0.12084117664735128
FBgn0085443	-0.33514818376452366	7.833737293657297	10.578224651499005	0.010025074764038737	0.12101915709820543
FBgn0260749	0.3601405503311006	5.8465115261948934	10.56526946032243	0.010056988927953774	0.12113291490668729
FBgn0053111	0.4341921014188728	3.9997764390721375	10.556177196846908	0.010079461808912947	0.12113291490668729
FBgn0037135	-0.31587826345594733	8.566567004469062	10.555803090812567	0.010080387791830651	0.12113291490668729
FBgn0015019	-0.36476318649455913	9.227555187923656	10.533336449423468	0.01013618958267066	0.12129656926580211
FBgn0035916	0.3984053665145272	4.552084060723255	10.527310390196456	0.010151221553723217	0.12129656926580211
FBgn0031039	1.2085035092778016	1.0691359523100068	10.525909976783787	0.010154718808688833	0.12129656926580211
FBgn0029709	-0.2856178939329241	7.106651267431645	10.525687178243622	0.010155275340728223	0.12129656926580211
FBgn0011566	-0.45443434968549246	4.860821373732555	10.514920359346712	0.010182214787479618	0.12143517906935407
FBgn0085427	-1.1114358535164175	0.31562714391031454	10.493859159588848	0.01023516660417188	0.12188313434351447
FBgn0015379	-0.32670943736043645	5.820895231833499	10.480002383229683	0.010270190222823697	0.12211657113294423
FBgn0031043	0.3085845733461896	5.341016692052754	10.46202250242641	0.010315855528820698	0.12247565207306013
FBgn0033987	-0.937948355208243	1.4896983723961323	10.450527307434573	0.010345182144671934	0.12259715698552126
FBgn0025382	-0.42792267409054124	3.971094521081615	10.44588591087941	0.010357052408550792	0.12259715698552126
FBgn0034421	-0.28954159499256976	7.457134394816776	10.425901604440558	0.010408353874933548	0.1226343971748172
FBgn0085789	-0.7361103721939175	1.0016539695914406	10.423491733387559	0.010414561356395497	0.1226343971748172
FBgn0030469	-0.4260946945169697	7.468097232972303	10.422468398283177	0.01041719870011252	0.1226343971748172
FBgn0030974	-0.44559781429816714	6.874928192960651	10.416376642205096	0.010432915439843763	0.1226343971748172
FBgn0020389	-0.329766311159823	5.450767701851113	10.414551902835381	0.010437628955149235	0.1226343971748172
FBgn0035898	-0.9353959959150616	1.0461245025177057	10.404438751398407	0.010463800025596732	0.12271176130426208
FBgn0034933	0.4296037440319609	4.448868452696945	10.400041221194368	0.010475205283707685	0.12271176130426208
FBgn0030266	-0.37883315871795564	7.56659796016231	10.387659014003908	0.010507401657372604	0.12290711037626832
FBgn0037644	-0.28496479868233715	6.127165090581831	10.37719023625828	0.010534717868883523	0.12293182922963307
FBgn0046685	-0.2894817219309734	6.671807906348098	10.372280119787487	0.010547559989600093	0.12293182922963307
FBgn0040009	0.7170208186059938	5.265934144289213	10.369024367471464	0.010556085853788418	0.12293182922963307
FBgn0026170	0.36177791065990744	8.427739471298784	10.348006766211032	0.010611329626319574	0.12339371411281161
FBgn0047135	0.4494484567057433	7.106798137274257	10.332778361815526	0.010651579432478717	0.12368014299970523
FBgn0028401	-0.2660170069172453	6.05379266975383	10.319539898658673	0.010686722618489358	0.12390652476693591
FBgn0051755	0.34857522810563374	4.875216643938444	10.301276492544712	0.010735439979450175	0.12421054078701398
FBgn0037999	-0.3144982377545061	6.208563150805816	10.292067464078052	0.01076010869899205	0.12421054078701398
FBgn0037708	0.5161876588628043	2.9060816121431468	10.286528302975213	0.010774980391924519	0.12421054078701398
FBgn0058470	1.0301109568354883	1.6867057644110812	10.274914899825584	0.010806242681028987	0.12421054078701398
FBgn0021765	-0.45214433321163505	6.918265240155478	10.274528735281116	0.010807284121643185	0.12421054078701398
FBgn0052582	0.6274879901328158	2.4571814761817468	10.271705169982887	0.010814902706369586	0.12421054078701398
FBgn0031497	-0.33247805421057663	8.113675817120775	10.26880333396375	0.010822739379093275	0.12421054078701398
FBgn0002590	-0.4108048219498898	11.354884820027818	10.24916898488632	0.010875947981421013	0.12464056738765993
FBgn0038331	0.48868915878037544	5.650582263053823	10.24037221174091	0.010899891564023762	0.12473445273916786
FBgn0031089	-0.6851664570445578	4.149389807662748	10.232071612827694	0.01092254421993582	0.12474874754083892
FBgn0026147	0.26854415945916404	5.860695296222807	10.227297017074639	0.01093560056013262	0.12474874754083892
FBgn0036038	-0.3199014235224575	5.362045516010618	10.222623184196069	0.010948399992534795	0.12474874754083892
FBgn0250871	-0.821537434048219	0.47060966661181364	10.213956755873626	0.01097218215711945	0.12484010129630592
FBgn0044323	-0.3383203821337787	8.197694574940744	10.19956337534954	0.01101182089276157	0.12511134813454644
FBgn0015924	0.2626516744748603	7.089811491725287	10.151969098497613	0.011144156184945816	0.12643348542777352
FBgn0038827	0.29263745318778805	5.230950793298995	10.135240726977855	0.011191134241480775	0.12678482411771996
FBgn0016940	0.2977918036663753	5.431981863026367	10.092989096318101	0.011310880134954992	0.12737130019463055
FBgn0053198	0.5111653645250189	3.6494082452100276	10.088401637048912	0.011323976343499322	0.12737130019463055
FBgn0030955	-0.4221678950846142	8.3988720069967	10.085214831252655	0.01133308498975569	0.12737130019463055
FBgn0033756	0.4520466773384228	6.003677098076917	10.070191374703825	0.011376147420936096	0.12737130019463055
FBgn0000617	-0.31989260024265603	6.047801042611073	10.06784170170818	0.011382900622626079	0.12737130019463055
FBgn0011648	-0.3200814347495759	6.478438175344775	10.061383731190325	0.011401486962839349	0.12737130019463055
FBgn0036192	0.6767433052056526	1.2956544564132642	10.061369294155396	0.011401528555185747	0.12737130019463055
FBgn0024234	-0.45999824671541073	7.342497314481274	10.059767211496037	0.011406145234036678	0.12737130019463055
